ITEM CCODE,BARCODE,ITEM DESCRIPTION,CATERGORY,item catergory,unit of measure
CEX-TRO-EAC,14023.0,Tirumisu round,42,internal,ea
CEX-TRU-EAC,14061.0,Truffles (6s),42,internal,ea
CEX-VAC-EAC,14039.0,Vanilla Cheese Cake Cup,42,internal,ea
CEX-VGB-EACH,,Vegan Chocolate Brownie,42,internal,ea
CEZ-MIL-16,,BD Milky Bar 16'',42,internal,ea
CFA-FAC-014,,BD 14'' Freshcream Alphabet Cake,17,internal,ea
CFA-FAE-016,,BD 16'' Eggless Freshcream Alphabet Cake,17,internal,ea
CFC-BET-EAC,12022.0,Belgica Tart,46,internal,ea
CFC-BTL-EAC,12023.0,Belgica Tartlet,46,internal,ea
CFC-CBS-EAC,12009.0,FC Black Forest Slice,46,internal,ea
CFC-CCC-EAC,30866.0,Carrot Cake With Cream Cheese,46,internal,ea
CFC-CCD-EAC,12035.0,Custard Doughnut,47,internal,ea
CFC-CCT-15CM,,Gluten Free Carrot Cake Tub 15cm,43,internal,ea
CFC-CFD-EAC,15049.0,FC Choc Drip Gateaux,46,internal,ea
CFC-CFE-EACH,,Christmas Freshcream Eggless Gateaux,46,internal,ea
CFC-CUD-EAC,12024.0,Custard Danish,46,internal,ea
CFC-CUS-EAC,12025.0,Custard Slice,46,internal,ea
CFC-EF1-1M,,BD 1M X500 FC Eggless,48,internal,ea
CFC-EMT-EACH,,Eggless Milk Tartlet,46,internal,ea
CFC-FBF-EAC,12004.0,FC Black Forest Gateaux,46,internal,ea
CFC-FBG-EAC,12002.0,FC Birthday Gateaux,46,internal,ea
CFC-FCD-EAC,12015.0,Fresh Cream Doughnut,46,internal,ea
CFC-FCE-EAC,12027.0,FC Eclair Chocolate,47,internal,ea
CFC-FCG-EAC,12006.0,FC Chocolate Gateaux,46,internal,ea
CFC-FCJ-EAC,12037.0,Christmas Freshcream Choc Gateaux,46,internal,ea
CFC-FCL-EAC,12010.0,FC Fresh Cream Slice,46,internal,ea
CFC-FCM-EAC,12012.0,FC Lamington Chocolate,46,internal,ea
CFC-FCP-EAC,12030.0,FC Caramel Sponge,42,internal,ea
CFC-FCR-EAC,12026.0,FC Croissant 80g,46,internal,ea
CFC-FCS-EAC,12014.0,FC Chocolate Swiss Roll,46,internal,ea
CFC-FDD-EAC,8102.0,Cake Freshcream In Dome Eggless,46,internal,ea
CFC-FDI-EAC,8101.0,Cake Buttercream In Dome Eggless,18,internal,ea
CFC-FEB-EAC,30519.0,FC Eggless Birthday Gateaux,46,internal,ea
CFC-FEG-EAC,12007.0,FC Eggless Vanilla Gateaux,46,internal,ea
CFC-FES-EAC,30621.0,FC Eggless Slice,46,internal,ea
CFC-FLM-EAC,,Choc Mini Lamington,18,internal,ea
CFC-FMS-EAC,12011.0,FC Milky Bar Slice,42,internal,ea
CFC-FOS-EAC,,Freshcream Oreo Slice,46,internal,ea
CFC-FRL-EAC,12013.0,FC Lamington Raspberry,46,internal,ea
CFC-FRM-EAC,,Mini Jam TurnOvers,18,internal,ea
CFC-FRU-010,10079.0,BD Fruit Cake 10,49,internal,ea
