TABLE_NAME COLUMN_NAME DATA_TYPE CHARACTER_MAXIMUM_LENGTH IS_NULLABLE
JournalEntries DebitAmount decimal NULL NO
JournalEntries CreditAmount decimal NULL NO
JournalEntries Reference nvarchar 100 YES
JournalEntries Description nvarchar 500 YES
JournalEntries TransactionDate datetime NULL NO
JournalEntries CreatedBy int NULL YES
JournalEntries CreatedDate datetime NULL NO
JournalHeaders JournalID int NULL NO
JournalHeaders JournalNumber varchar 20 NO
JournalHeaders JournalDate date NULL NO
JournalHeaders Reference nvarchar 50 YES
JournalHeaders Description nvarchar 255 YES
JournalHeaders FiscalPeriodID int NULL NO
JournalHeaders CreatedBy int NULL NO
JournalHeaders BranchID int NULL NO
JournalHeaders IsPosted bit NULL YES
JournalHeaders PostedDate datetime NULL YES
JournalHeaders PostedBy int NULL YES
JournalLines JournalLineID int NULL NO
JournalLines JournalID int NULL NO
JournalLines LineNumber int NULL NO
JournalLines AccountID int NULL NO
JournalLines Debit decimal NULL NO
JournalLines Credit decimal NULL NO
JournalLines LineDescription varchar 256 YES
JournalLines Reference1 varchar 100 YES
JournalLines Reference2 varchar 100 YES
JournalLines CostCenterID int NULL YES
JournalLines ProjectID int NULL YES
JournalLines ClearedFlag bit NULL NO
JournalLines StatementRef varchar 100 YES
Journals JournalID int NULL NO
Journals JournalDate date NULL NO
Journals JournalNumber varchar 50 YES
Journals Reference varchar 100 YES
Journals Description varchar 256 YES
Journals FiscalPeriodID int NULL YES
Journals BranchID int NULL YES
Journals CreatedBy int NULL YES
Journals CreatedAt datetime NULL NO
Journals PostedBy int NULL YES
Journals PostedAt datetime NULL YES
Journals PostedFlag bit NULL NO
Ledgers LedgerID int NULL NO
Ledgers LedgerName nvarchar 100 NO
Ledgers LedgerType nvarchar 50 NO
Ledgers ParentLedgerID int NULL YES
Ledgers IsActive bit NULL NO
Ledgers CreatedDate datetime NULL NO
Ledgers CreatedBy int NULL YES
Ledgers LastModifiedDate datetime NULL YES
Ledgers LastModifiedBy int NULL YES
Ledgers BranchID int NULL YES
Ledgers AccountCode nvarchar 20 YES
Ledgers LedgerCode nvarchar 20 YES
Ledgers AccountID int NULL YES
Ledgers AccountName nvarchar 200 YES
Ledgers ModifiedBy nvarchar 100 YES
Ledgers ModifiedDate datetime NULL YES
POS_Customers CustomerID int NULL NO
POS_Customers CellNumber nvarchar 20 NO
POS_Customers FirstName nvarchar 100 NO
POS_Customers Surname nvarchar 100 NO
POS_Customers Email nvarchar 255 YES
POS_Customers CreatedDate datetime NULL YES
POS_Customers LastOrderDate datetime NULL YES
POS_Customers TotalOrders int NULL YES
POS_Customers IsActive bit NULL YES
POS_GLAccountMapping MappingID int NULL NO
POS_GLAccountMapping BranchID int NULL NO
POS_GLAccountMapping AccountType nvarchar 50 NO
POS_GLAccountMapping AccountCode nvarchar 20 NO
POS_GLAccountMapping AccountName nvarchar 200 NO
POS_GLAccountMapping IsActive bit NULL NO
POS_GLAccountMapping CreatedDate datetime NULL NO
POS_GLAccountMapping CreatedBy nvarchar 100 YES
POS_GLAccountMapping ModifiedDate datetime NULL YES
POS_GLAccountMapping ModifiedBy nvarchar 100 YES
POS_InvoiceLines LineID int NULL NO
POS_InvoiceLines InvoiceNumber varchar 50 NO
POS_InvoiceLines SalesID int NULL NO
POS_InvoiceLines BranchID int NULL NO
POS_InvoiceLines ProductID int NULL NO
POS_InvoiceLines ItemCode varchar 50 NO
POS_InvoiceLines ProductName varchar 200 NO
POS_InvoiceLines Quantity decimal NULL NO
POS_InvoiceLines UnitPrice decimal NULL NO
POS_InvoiceLines LineTotal decimal NULL NO
POS_InvoiceLines TaxAmount decimal NULL YES
POS_InvoiceLines SaleDate datetime NULL NO
POS_InvoiceLines CashierID int NULL NO
POS_InvoiceLines CreatedDate datetime NULL NO
POS_InvoiceLines UnitCost decimal NULL YES
POS_InvoiceLines LineCost decimal NULL YES
POS_InvoiceLines OverriddenPrice decimal NULL YES
POS_InvoiceLines PriceOverrideBy nvarchar 50 YES
POS_InvoiceLines PriceOverrideDate datetime NULL YES
SupplierInvoiceLines InvoiceLineID int NULL NO
SupplierInvoiceLines InvoiceID int NULL NO
SupplierInvoiceLines ItemID int NULL NO
SupplierInvoiceLines ItemSource nvarchar 10 NO
SupplierInvoiceLines Description nvarchar 200 YES
SupplierInvoiceLines Quantity decimal NULL NO
SupplierInvoiceLines UnitPrice decimal NULL NO
SupplierInvoiceLines LineTotal decimal NULL NO
SupplierInvoiceLines LineNumber int NULL YES
SupplierInvoiceLines ProductCode nvarchar 50 YES
SupplierInvoiceLines ProductName nvarchar 200 YES
SupplierInvoicePayments InvoicePaymentID int NULL NO
SupplierInvoicePayments PaymentID int NULL NO
SupplierInvoicePayments InvoiceID int NULL NO
SupplierInvoicePayments AmountApplied decimal NULL NO
SupplierInvoicePayments DiscountTaken decimal NULL NO
SupplierInvoicePayments CreatedDate datetime NULL NO
SupplierInvoices InvoiceID int NULL NO
SupplierInvoices InvoiceNumber nvarchar 50 NO
SupplierInvoices SupplierID int NULL NO
SupplierInvoices InvoiceDate date NULL NO
SupplierInvoices DueDate date NULL YES
SupplierInvoices TotalAmount decimal NULL NO
SupplierInvoices AmountPaid decimal NULL NO
SupplierInvoices AmountDue decimal NULL YES
SupplierInvoices Status nvarchar 20 NO
SupplierInvoices CreatedBy nvarchar 100 NO
SupplierInvoices CreatedDate datetime NULL NO
SupplierInvoices BranchID int NULL YES
SupplierInvoices SubTotal decimal NULL YES
SupplierInvoices VatAmount decimal NULL YES
SupplierInvoices AmountOutstanding decimal NULL YES
SupplierInvoices GRVID int NULL YES
SupplierInvoices Reference nvarchar 200 YES
SupplierInvoices Notes nvarchar 500 YES
SupplierInvoices PurchaseOrderID int NULL YES
SupplierInvoices DiscountAmount decimal NULL YES
SupplierInvoices DiscountPercent decimal NULL YES
SupplierInvoices PaymentReference nvarchar 50 YES
SupplierInvoices SentToBankDate datetime NULL YES
SupplierInvoices PaidDate datetime NULL YES
SupplierInvoices BankStatementLineID int NULL YES
SupplierLedger LedgerID int NULL NO
SupplierLedger SupplierID int NULL NO
SupplierLedger SupplierName nvarchar 200 NO
SupplierLedger SupplierCode nvarchar 50 YES
SupplierLedger TransactionDate datetime NULL NO
SupplierLedger TransactionType nvarchar 50 NO
SupplierLedger ReferenceNumber nvarchar 100 YES
SupplierLedger Description nvarchar 500 YES
SupplierLedger DebitAmount decimal NULL NO
SupplierLedger CreditAmount decimal NULL NO
SupplierLedger RunningBalance decimal NULL NO
SupplierLedger BranchID int NULL NO
SupplierLedger CreatedBy nvarchar 100 YES
SupplierLedger CreatedDate datetime NULL NO
SupplierLedger IsReversed bit NULL NO
SupplierLedger ReversedBy nvarchar 100 YES
SupplierLedger ReversedDate datetime NULL YES
SupplierLedger ReversalReason nvarchar 500 YES
SupplierPaymentAllocations AllocationID int NULL NO
SupplierPaymentAllocations PaymentID int NULL NO
SupplierPaymentAllocations InvoiceID int NULL NO
SupplierPaymentAllocations AllocatedAmount decimal NULL NO
SupplierPaymentAllocations AllocationDate datetime NULL NO
SupplierPayments PaymentID int NULL NO
SupplierPayments PaymentNumber nvarchar 50 NO
SupplierPayments PaymentDate datetime NULL NO
SupplierPayments SupplierID int NULL NO
SupplierPayments SupplierName nvarchar 200 NO
SupplierPayments SupplierCode nvarchar 50 YES
SupplierPayments PaymentAmount decimal NULL NO
SupplierPayments PaymentMethod nvarchar 50 NO
SupplierPayments IsBankTransfer bit NULL NO
SupplierPayments BankReference nvarchar 100 YES
SupplierPayments IsReconciled bit NULL NO
SupplierPayments ReconciledDate datetime NULL YES
SupplierPayments ReconciledBy nvarchar 100 YES
SupplierPayments Notes nvarchar 1000 YES
SupplierPayments BranchID int NULL NO
SupplierPayments CreatedBy nvarchar 100 YES
SupplierPayments CreatedDate datetime NULL NO
SupplierPayments JournalEntryNumber nvarchar 50 YES
Suppliers SupplierID int NULL NO
Suppliers CompanyName nvarchar 100 NO
Suppliers ContactPerson nvarchar 100 YES
Suppliers Email nvarchar 128 YES
Suppliers Phone nvarchar 20 YES
Suppliers Mobile nvarchar 20 YES
Suppliers PhysicalAddress nvarchar 255 YES
Suppliers City nvarchar 50 YES
Suppliers Province nvarchar 50 YES
Suppliers PostalCode nvarchar 10 YES
Suppliers Country nvarchar 50 NO
Suppliers VATNumber nvarchar 20 YES
Suppliers PaymentTermsDays int NULL NO
Suppliers CreditLimit decimal NULL NO
Suppliers CurrentBalance decimal NULL NO
Suppliers IsActive bit NULL NO
Suppliers CreatedDate datetime2 NULL NO
Suppliers CreatedBy int NULL NO
Suppliers ModifiedDate datetime2 NULL YES
Suppliers ModifiedBy int NULL YES
