Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Treatment,Branch
0,OD400,,BD Buttercream Figure 20,buttercream figure,internal,10090,BD Buttercream Figure 20,,CBF-BCF-020,900,,OD400 - Umhlanga
0,OD400,,BD 20 Buttercream Figure on Base Eggless,buttercream figure,internal,10199,BD 20 Buttercream Figure on Base Eggless,,CBF-BFE-020,1350,,OD400 - Umhlanga
0,OD400,,BD Buttercream Fig on SL 18,buttercream figure cake,internal,10092,BD Buttercream Fig on SL 18,,CBF-BFS-018,940,,OD400 - Umhlanga
0,OD400,,BD Buttercream Fig on SL 20,buttercream figure cake,internal,10094,BD Buttercream Fig on SL 20,,CBF-BFS-020,990,,OD400 - Umhlanga
0,OD400,,BD Freshcream 14 Black Forest,freshcream square black forest,internal,12001,BD Freshcream 14 Black Forest,,CBF-BLF-014,740,,OD400 - Umhlanga
0,OD400,,BD Freshcream 16 Blackforest,freshcream blackforest,internal,12020,BD Freshcream 16 Blackforest,,CBF-BLF-016,800,,OD400 - Umhlanga
0,OD400,,BD Freshcream 14 DL,freshcream square,internal,10039,BD Freshcream 14 DL,,CBF-FCD-014,470,,OD400 - Umhlanga
0,OD400,,BD Freshcream Figure 18,freshcream figure cake,internal,10089,BD Freshcream Figure 18,,CBF-FCF-018,900,,OD400 - Umhlanga
0,OD400,,BD Freshcream Figure 20,freshcream figure,internal,10091,BD Freshcream Figure 20,,CBF-FCF-020,950,,OD400 - Umhlanga
0,OD400,,BD 20 Freshcream Figure Only Eggless,freshcream figure,internal,0,BD 20 Freshcream Figure Only Eggless,,CBF-FF0-020,1300,,OD400 - Umhlanga
0,OD400,,BD Freshcream Figure on Base Eggless 20,freshcream figure cake,internal,10198,BD Freshcream Figure on Base Eggless 20,,CBF-FFE-020,1450,,OD400 - Umhlanga
0,OD400,,BD Freshcream Fig on SL 18,freshcream figure cake,internal,10093,BD Freshcream Fig on SL 18,,CBF-FFS-018,990,,OD400 - Umhlanga
0,OD400,,BD Freshcream Fig on SL 20,freshcream figure,internal,10095,BD Freshcream Fig on SL 20,,CBF-FFS-020,1040,,OD400 - Umhlanga
0,OD400,,BD 20 Buttercream Figure Only Eggless,buttercream figure,internal,0,BD 20 Buttercream Figure Only Eggless,,CBF-FOE-020,1250,,OD400 - Umhlanga
0,OD400,,BD Buttercream 1MX1M,novelty,internal,0,BD Buttercream 1MX1M,,CBN-B1M-EACH,5500,,OD400 - Umhlanga
0,OD400,,BD Freshcream 1M X1M,novelty,internal,0,BD Freshcream 1M X1M,,CBN-F1M-EACH,5700,,OD400 - Umhlanga
0,OD400,,BD Buttercream 12 Round,buttercream cake round,internal,10105,BD Buttercream 12 Round,,CBR-BCR-012,420,,OD400 - Umhlanga
0,OD400,,BD Buttercream 14 Round,buttercream cake round,internal,10107,BD Buttercream 14 Round,,CBR-BCR-014,450,,OD400 - Umhlanga
0,OD400,,BD Buttercream 16 Round,buttercream round,internal,10109,BD Buttercream 16 Round,,CBR-BCR-016,480,,OD400 - Umhlanga
0,OD400,,BD Buttercream 18 Round,buttercream cake round,internal,10104,BD Buttercream 18 Round,,CBR-BCR-018,570,,OD400 - Umhlanga
0,OD400,,BD Buttercream 20 Round,buttercream round,internal,10112,BD Buttercream 20 Round,,CBR-BCR-020,610,,OD400 - Umhlanga
0,OD400,,BD Freshcream 12 Round,freshcream cake round,internal,10106,BD Freshcream 12 Round,,CBR-FCR-012,460,,OD400 - Umhlanga
0,OD400,,BD Freshcream 14 Round,freshcream cake round,internal,10108,BD Freshcream 14 Round,,CBR-FCR-014,490,,OD400 - Umhlanga
0,OD400,,BD Freshcream 16 Round,freashcream round,internal,10110,BD Freshcream 16 Round,,CBR-FCR-016,520,,OD400 - Umhlanga
0,OD400,,BD Freshcream 18 Round,freshcream round,internal,10111,BD Freshcream 18 Round,,CBR-FCR-018,620,,OD400 - Umhlanga
0,OD400,,BD Freshcream 20 Round,freshcream round,internal,10113,BD Freshcream 20 Round,,CBR-FCR-020,660,,OD400 - Umhlanga
0,OD400,,BD Buttercream 12 DL,buttercream square,internal,10005,BD Buttercream 12 DL,,CBS-BCD-012,400,,OD400 - Umhlanga
0,OD400,,BD Buttercream 14 DL,buttercream square,internal,10007,BD Buttercream 14 DL,,CBS-BCD-014,430,,OD400 - Umhlanga
0,OD400,,BD Buttercream 16 DL,buttercream square,internal,10011,BD Buttercream 16 DL,,CBS-BCD-016,460,,OD400 - Umhlanga
0,OD400,,BD Buttercream 18 DL,buttercream square cake,internal,10015,BD Buttercream 18 DL,,CBS-BCD-018,550,,OD400 - Umhlanga
0,OD400,,BD Buttercream 20 DL,buttercream square,internal,10018,BD Buttercream 20 DL,,CBS-BCD-020,590,,OD400 - Umhlanga
0,OD400,,BD Buttercream 22 DL,buttercream square,internal,10031,BD Buttercream 22 DL,,CBS-BCD-022,770,,OD400 - Umhlanga
0,OD400,,BD 16 BC DL Eggless,buttercream square,internal,10033,BD 16 BC DL Eggless,,CBS-BCE-016,520,,OD400 - Umhlanga
0,OD400,,BD Freshcream 12 Black Forest,freshcream black forest,internal,10078,BD Freshcream 12 Black Forest,,CBS-BLF-012,670,,OD400 - Umhlanga
0,OD400,,BD Freshcream 12 DL,freshcream square,internal,10037,BD Freshcream 12 DL,,CBS-FCD-012,440,,OD400 - Umhlanga
0,OD400,,BD Freshcream 16 DL,freshcream square,internal,10041,BD Freshcream 16 DL,,CBS-FCD-016,500,,OD400 - Umhlanga
0,OD400,,BD Freshcream 18 DL,freshcream square,internal,10045,BD Freshcream 18 DL,,CBS-FCD-018,600,,OD400 - Umhlanga
0,OD400,,BD Freshcream 20 DL,frsshcream square,internal,10050,BD Freshcream 20 DL,,CBS-FCD-020,640,,OD400 - Umhlanga
0,OD400,,BD Freshcream 22 DL,freshcream square,internal,10054,BD Freshcream 22 DL,,CBS-FCD-022,830,,OD400 - Umhlanga
0,OD400,,BD 16 Freshcream Eggless,freshcream square,internal,10103,BD 16 Freshcream Eggless,,CBS-FCE-016,560,,OD400 - Umhlanga
0,OD400,,BD Buttercream 3 Tier Stacked,wedding cake,internal,10102,BD Buttercream 3 Tier Stacked,,CBW-CAK-003,2900,,OD400 - Umhlanga
0,OD400,,BD Buttercream 2Tier Stacked 12 16,wedding cake,internal,10289,BD Buttercream 2Tier Stacked 12 16,,CBW-STA-EAC,2100,,OD400 - Umhlanga
0,OD400,,New York Baked Cheese Cake Round,exotic cakes,internal,30665,New York Baked Cheese Cake Round,,CEX -NYW-EAC,400,,OD400 - Umhlanga
0,OD400,,Cheese Cake Dessert,exotic cakes,internal,14030,Cheese Cake Dessert,,CEX CCD-EAC,40,,OD400 - Umhlanga
0,OD400,,FC Bar One Eggless Drip,exotic cakes,internal,14050,FC Bar One Eggless Drip,,CEX- BEG-EAC,230,,OD400 - Umhlanga
0,OD400,,Moist Chocolate Pudding,exotic cakes,internal,14091,Moist Chocolate Pudding,,CEX- MCP-EAC,60,,OD400 - Umhlanga
0,OD400,,Buttercream 6 Layer Drip Cake with toppings,exotic cakes,internal,0,Buttercream 6 Layer Drip Cake with toppings,,CEX- MDB-EAC,1400,,OD400 - Umhlanga
0,OD400,,New York Blueberry Cheese Cake Slice,exotic,internal,0,New York Blueberry Cheese Cake Slice,,CEX- NBS-EAC,50,,OD400 - Umhlanga
0,OD400,,BC 12'' Round Triple Layer Rose Pattern,novelty,internal,0,BC 12'' Round Triple Layer Rose Pattern,,CEX- RTR-12,950,,OD400 - Umhlanga
0,OD400,,Apple Tart,exotic,internal,14025,Apple Tart,,CEX-APP-EAC,80,,OD400 - Umhlanga
0,OD400,,Apple Tartlet,exotic,internal,0,Apple Tartlet,,CEX-ATS-EAC,30,,OD400 - Umhlanga
0,OD400,,BD Bar One Square 12,exotic cakes,internal,10001,BD Bar One Square 12,,CEX-BAR-012,1000,,OD400 - Umhlanga
0,OD400,,BD Bar One Square 14,exotic cakes,internal,10002,BD Bar One Square 14,,CEX-BAR-014,1200,,OD400 - Umhlanga
0,OD400,,BD Bar One Square 16,exotic cakes,internal,10003,BD Bar One Square 16,,CEX-BAR-016,1400,,OD400 - Umhlanga
0,OD400,,BD Bar One Square 18,exotic cakes,internal,0,BD Bar One Square 18,,CEX-BAR-018,1700,,OD400 - Umhlanga
0,OD400,,Bar One Log,exotic cakes,internal,4005,Bar One Log,,CEX-BOL-EAC,185,,OD400 - Umhlanga
0,OD400,,Mothers Day Bar One Round with rose and leaves,exotic cakes,internal,14065,Mothers Day Bar One Round with rose and leaves,,CEX-BOM-EAC,290,,OD400 - Umhlanga
0,OD400,,Bar One Round,exotic cakes,internal,14003,Bar One Round,,CEX-BOR-EAC,290,,OD400 - Umhlanga
0,OD400,,Bar One Slice,exotic cakes,internal,4008,Bar One Slice,,CEX-BOS-EAC,45,,OD400 - Umhlanga
0,OD400,,BD 12 Carrot Cake square wit cream cheese,exotic,internal,0,BD 12 Carrot Cake square wit cream cheese,,CEX-CAC-012,1000,,OD400 - Umhlanga
